ID,assay_rep,boldness,exploration,fitness,body_size
S_1,1,18.5745096,39.73647763,39,21.71794787
S_1,2,18.31876575,39.40754462,NA,21.54564897
S_1,3,20.33255581,40.15803494,NA,21.34163529
S_1,4,19.40499671,40.29041646,NA,20.77760987
S_2,1,20.69785766,39.46820075,56,25.70793144
S_2,2,18.59638453,40.11934697,NA,26.42660611
S_2,3,22.23753212,41.34691928,NA,26.0968418
S_2,4,19.813581,41.23401224,NA,25.74607804
S_3,1,20.35007345,38.58675281,51,29.15190906
S_3,2,19.69116766,40.95435518,NA,28.98144425
S_3,3,21.15413107,41.20694536,NA,29.10146918
S_3,4,20.0333852,39.81959347,NA,29.0321869
S_4,1,17.89334168,39.41490245,31,26.24412524
S_4,2,19.51401681,40.54886525,NA,25.55216133
S_4,3,18.8620161,42.1361511,NA,25.95095102
S_4,4,21.96500187,41.68511578,NA,25.31951464
S_5,1,19.35897781,37.30415457,39,25.15422094
S_5,2,21.8242363,38.9038413,NA,24.83814846
S_5,3,18.41315826,36.26230511,NA,24.39431395
S_5,4,20.58590261,39.7551139,NA,24.87222726
S_6,1,18.00930595,40.78697541,30,16.45663594
S_6,2,20.14148796,40.47124134,NA,17.57624291
S_6,3,17.77859996,38.6306008,NA,16.66045188
S_6,4,18.98727071,38.79753116,NA,16.81052147
S_7,1,20.42550943,40.83991847,47,23.55273587
S_7,2,19.58700145,41.18426954,NA,23.25316616
S_7,3,21.7336751,39.90178446,NA,23.83455543
S_7,4,18.7230737,39.30239589,NA,23.65879039
S_8,1,18.13439895,40.62297244,21,23.50376618
S_8,2,20.24120123,39.73607333,NA,23.5902292
S_8,3,22.30619422,42.33271904,NA,23.39777459
S_8,4,19.06493852,38.29980103,NA,22.78574009
S_9,1,22.58465113,41.01643796,45,25.41458589
S_9,2,19.77974509,40.6627197,NA,25.06037009
S_9,3,20.09401528,39.30678315,NA,25.03534191
S_9,4,22.68179873,41.82221731,NA,26.66010985
S_10,1,18.49842939,38.92345464,27,26.0698439
S_10,2,18.68559106,39.67889887,NA,26.84574636
S_10,3,19.57803676,40.056343,NA,25.91719683
S_10,4,20.21664647,40.04968653,NA,26.4060506
S_11,1,22.32039781,40.87834995,64,22.99876534
S_11,2,20.48898797,39.10848307,NA,23.97125347
S_11,3,20.22723683,40.37191186,NA,23.70413204
S_11,4,19.051995,39.89949742,NA,23.93046852
S_12,1,20.91616096,37.81439283,52,32.76142383
S_12,2,21.27703014,40.46800739,NA,32.47736857
S_12,3,22.27342381,38.86867617,NA,33.03745057
S_12,4,20.41078423,38.58334652,NA,32.92014066
S_13,1,20.53866333,39.71215283,50,23.07712244
S_13,2,20.32359029,39.49274718,NA,23.67817371
S_13,3,20.79022953,40.21868108,NA,24.25481674
S_13,4,18.79618066,40.53074962,NA,23.80861352
S_14,1,21.37803544,40.76911992,47,26.44061214
S_14,2,21.27088121,40.66842074,NA,26.07047204
S_14,3,20.24638195,40.18860954,NA,26.08147687
S_14,4,19.57130656,41.29919306,NA,25.49024335
S_15,1,19.13611222,40.72165864,41,22.91724442
S_15,2,21.41283958,40.95338505,NA,22.29515418
S_15,3,19.50181266,39.53679915,NA,23.52296094
S_15,4,19.46895569,40.72869034,NA,23.01045242
S_16,1,18.37097471,38.59754061,39,22.6159207
S_16,2,18.26029686,40.02779889,NA,23.07475745
S_16,3,19.52736189,40.55838752,NA,23.83014026
S_16,4,20.05143754,39.32440035,NA,23.0498418
S_17,1,18.44683569,39.72059783,42,27.22037926
S_17,2,20.6879928,40.55664643,NA,26.65337507
S_17,3,18.98200847,39.56166431,NA,28.46701789
S_17,4,18.80369576,42.44524404,NA,27.52014166
S_18,1,18.50842477,39.97638688,27,25.64973362
S_18,2,19.18322636,40.44815076,NA,25.89107147
S_18,3,20.69142837,40.18781262,NA,25.38108241
S_18,4,17.99614854,39.55155367,NA,25.06941274
S_19,1,22.34401916,41.10701428,45,25.08333166
S_19,2,22.84888182,42.73825173,NA,25.77796373
S_19,3,20.14439904,42.80417545,NA,25.31847279
S_19,4,21.5273713,41.76055391,NA,24.98963744
S_20,1,18.85230666,41.87526841,38,23.14750755
S_20,2,17.12083313,38.76180339,NA,23.08093792
S_20,3,17.37570302,38.51787181,NA,23.83551265
S_20,4,19.79047245,40.51536146,NA,23.61520051
S_21,1,21.60861466,42.72331413,59,28.93379981
S_21,2,22.30030419,41.29897798,NA,29.55399354
S_21,3,21.81098097,40.67751487,NA,28.61572133
S_21,4,21.19648173,40.58880893,NA,28.59599269
S_22,1,19.82548434,39.14943293,46,22.81607
S_22,2,20.54961983,39.47923901,NA,22.60407825
S_22,3,21.09381509,39.8256834,NA,21.83461893
S_22,4,19.91205425,39.18530064,NA,21.82281727
S_23,1,18.01490318,39.22846739,40,24.35813834
S_23,2,19.22932863,41.33736195,NA,24.15262708
S_23,3,15.74390674,39.34207909,NA,24.38069256
S_23,4,17.38144851,40.30252555,NA,24.32186341
S_24,1,21.49735837,41.53541458,45,19.21617987
S_24,2,21.6099297,42.40862214,NA,18.54379064
S_24,3,22.93772783,40.80844149,NA,19.70446474
S_24,4,23.36849896,42.47137143,NA,19.41669254
S_25,1,21.86196573,40.01797469,37,21.64551961
S_25,2,21.07525447,39.82292006,NA,21.36033485
S_25,3,22.06162557,39.8915512,NA,21.4857507
S_25,4,18.13422323,37.34117014,NA,20.64376577
S_26,1,19.85760078,39.33725835,46,18.62543553
S_26,2,18.14070805,39.44387226,NA,19.46859167
S_26,3,20.41953456,40.595597,NA,19.24553433
S_26,4,19.45989838,39.84347819,NA,19.19433177
S_27,1,19.50259101,37.75275105,36,20.40700109
S_27,2,20.57326579,40.83389797,NA,21.28305832
S_27,3,20.14936814,39.48762435,NA,19.51255021
S_27,4,21.24623824,40.88631868,NA,20.29802689
